osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent,building_age
61738980,0,61738980,36,26,4,no,6971989.5106,29321876.0,135.0,63.0,21.0,-128403.9617,6971989.0576,2,-128395.26,27.0,
231618453,1,231618453,47,33,8,yes,6971983.9951,29321876.0,135.0,63.0,21.0,-128403.9617,6971989.0576,2,-128398.54,35.0,
231618453,1,231618453,47,33,8,yes,6971983.9951,29321876.0,135.0,63.0,21.0,-128403.9617,6971989.0576,2,-128398.54,35.0,
61738981,0,61738981,49,37,6,no,6971601.9558,29370583.0,75.0,47.0,6.0,-127797.4891,6971604.3156,1,-127792.38,65.0,
61738981,0,61738981,49,37,6,no,6971601.9558,29370583.0,75.0,47.0,6.0,-127797.4891,6971604.3156,1,-127792.38,65.0,
229073458,0,229073458,48,36,6,no,6971607.8269,29370583.0,75.0,47.0,6.0,-127797.4891,6971604.3156,2,-127792.91,64.0,
229073458,0,229073458,48,36,6,no,6971607.8269,29370583.0,75.0,47.0,6.0,-127797.4891,6971604.3156,2,-127792.91,64.0,
61738984,0,61738984,50,37,6,no,6971736.2771,29367735.0,80.0,47.0,13.0,-127827.7009,6971730.0873,5,-127825.3,63.0,
61738984,0,61738984,50,37,6,no,6971736.2771,29367735.0,80.0,47.0,13.0,-127827.7009,6971730.0873,5,-127825.3,63.0,
229073528,0,229073528,49,37,6,no,6971735.8602,29367735.0,80.0,47.0,13.0,-127827.7009,6971730.0873,2,-127831.28,61.0,
229073528,0,229073528,49,37,6,no,6971735.8602,29367735.0,80.0,47.0,13.0,-127827.7009,6971730.0873,2,-127831.28,61.0,
61738987,1,61738987,48,28,7,yes,6971696.2899,29337431.0,114.0,49.0,15.0,-128153.5583,6971693.4875,5,-128154.83,42.0,
61738990,0,61738990,41,26,5,no,6971656.6635,29334886.0,119.0,50.0,13.0,-128201.0573,6971657.8451,1,-128202.66,34.0,
61738994,1,61738994,54,30,5,yes,6971610.3207,57952122.0,172.0,67.0,18.0,-128170.3252,6971612.4311,2,-128170.17,31.0,
61738995,0,61738995,50,29,4,no,6971674.9791,29328124.0,130.0,53.0,9.0,-128310.3539,6971674.9801,2,-128311.03,38.0,
61739001,1,61739001,47,28,7,yes,6971785.8998,56785603.0,117.0,53.0,18.0,-128187.1373,6971782.9972,3,-128190.1,40.0,
61739003,1,61739003,49,28,7,yes,6971741.0687,29336370.0,112.0,49.0,16.0,-128170.4917,6971738.1246,3,-128172.92,44.0,
61739004,1,61739004,48,28,6,yes,6971928.167199999,57441316.0,125.0,53.0,19.0,-128131.4175,6971925.2107,2,-128134.2,38.0,
61739005,0,61739005,36,26,5,no,6971940.815,29323106.0,169.0,64.0,23.0,-128383.7584,6971939.5249,2,-128379.63,21.0,
61739005,0,61739005,36,26,5,no,6971940.815,29323106.0,169.0,64.0,23.0,-128383.7584,6971939.5249,2,-128379.63,21.0,
103415758,0,103415758,29,22,4,no,6971932.4698,29323106.0,169.0,64.0,23.0,-128383.7584,6971939.5249,3,-128392.73,17.0,
103415758,0,103415758,29,22,4,no,6971932.4698,29323106.0,169.0,64.0,23.0,-128383.7584,6971939.5249,3,-128392.73,17.0,
61739033,0,61739033,45,27,4,no,6971686.2886,29349116.0,168.0,67.0,11.0,-128024.9537,6971681.5858,2,-128026.75,27.0,
61739033,0,61739033,45,27,4,no,6971686.2886,29349116.0,168.0,67.0,11.0,-128024.9537,6971681.5858,2,-128026.75,27.0,
207403022,0,207403022,11,13,4,no,6971673.2787,29349116.0,168.0,67.0,11.0,-128024.9537,6971681.5858,2,-128023.91,7.0,
207403022,0,207403022,11,13,4,no,6971673.2787,29349116.0,168.0,67.0,11.0,-128024.9537,6971681.5858,2,-128023.91,7.0,
61739034,0,61739034,66,37,8,no,6971689.7868,29346548.0,190.0,71.0,9.0,-128072.8428,6971692.2808,1,-128067.48,35.0,
61739047,0,61739047,88,38,5,no,6971637.6673,29350497.0,182.0,67.0,16.0,-128005.2274,6971640.0794,2,-128011.44,48.0,
61739047,0,61739047,88,38,5,no,6971637.6673,29350497.0,182.0,67.0,16.0,-128005.2274,6971640.0794,2,-128011.44,48.0,
207403060,1,207403060,34,24,5,yes,6971656.9893,29350497.0,182.0,67.0,16.0,-128005.2274,6971640.0794,2,-128000.74,19.0,
207403060,1,207403060,34,24,5,yes,6971656.9893,29350497.0,182.0,67.0,16.0,-128005.2274,6971640.0794,2,-128000.74,19.0,
61739052,0,61739052,50,37,6,no,6971653.6804,29368248.0,79.0,47.0,12.0,-127820.9754,6971647.5016,5,-127818.12,63.0,
61739052,0,61739052,50,37,6,no,6971653.6804,29368248.0,79.0,47.0,12.0,-127820.9754,6971647.5016,5,-127818.12,63.0,
229073530,0,229073530,49,37,6,no,6971653.3238,29368248.0,79.0,47.0,12.0,-127820.9754,6971647.5016,2,-127824.12,62.0,
229073530,0,229073530,49,37,6,no,6971653.3238,29368248.0,79.0,47.0,12.0,-127820.9754,6971647.5016,2,-127824.12,62.0,
61739057,1,61739057,54,40,6,yes,6971528.5608,29368940.0,78.0,47.0,13.0,-127811.3228,6971533.1392,6,-127808.27,69.0,
