osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent
"61738842","1","61738842","85","37","4",yes,6972248.850700000301003,,512.0000,102.0000,10.0000,-128723.2362,6972239.6611,"1",-128726.3500,"17"
"61738843","1","61738843","93","39","4",yes,6972306.142400000244379,,267.0000,66.0000,6.0000,-128721.4476,6972312.2039,"2",-128724.8800,"35"
"61738845","1","61738845","72","35","7",yes,6972246.803399999625981,,61.0000,34.0000,7.0000,-128856.0894,6972249.9922,"4",-128856.8600,"118"
"61738847","1","61738847","60","34","9",yes,6972134.564299999736249,,49.0000,30.0000,10.0000,-128788.2271,6972137.3708,"4",-128790.2500,"122"
"61738849","1","61738849","45","31","8",yes,6972024.334900000132620,,88.0000,50.0000,12.0000,-128951.9363,6972021.3836,"2",-128951.0300,"51"
"61738853","0","61738853","171","64","14",no,6972038.523500000126660,,,,,,,"0",-128841.4000,
"61738856","1","61738856","68","36","7",yes,6972083.234799999743700,,63.0000,35.0000,9.0000,-128915.4079,6972086.8239,"3",-128915.5000,"108"
"61738859","1","61738859","68","34","8",yes,6972110.371199999935925,29288407.0000,215.0000,61.0000,17.0000,-128844.8625,6972111.3717,"3",-128838.3800,"32"
"61738861","1","61738861","61","34","6",yes,6972042.240900000557303,,60.0000,35.0000,7.0000,-128931.0169,6972046.4481,"2",-128930.8000,"102"
"61738862","0","61738862","50","30","7",no,6972313.309700000099838,29284490.0000,110.0000,48.0000,10.0000,-128900.9229,6972312.1442,"2",-128898.1200,"45"
"61738863","1","61738863","45","27","5",yes,6972425.787999999709427,,88.0000,47.0000,16.0000,-128954.7063,6972429.3025,"2",-128960.9800,"51"
"61738864","1","61738864","56","31","5",yes,6972397.129399999976158,,225.0000,68.0000,23.0000,-128856.9808,6972401.6089,"2",-128858.5700,"25"
"61738867","1","61738867","56","31","6",yes,6972351.603600000031292,29274460.0000,188.0000,59.0000,18.0000,-128989.3437,6972353.5449,"2",-128991.1200,"30"
"61738868","1","61738868","91","40","6",yes,6972291.506299999542534,,306.0000,69.0000,9.0000,-128739.5535,6972296.1239,"1",-128741.2600,"30"
"61738872","1","61738872","49","29","8",yes,6972397.035099999979138,29291426.0000,100.0000,44.0000,15.0000,-128804.1149,6972400.0305,"2",-128801.1500,"49"
"61738874","1","61738874","54","30","5",yes,6972351.630800000391901,,158.0000,56.0000,23.0000,-128854.7517,6972361.1157,"2",-128855.1400,"34"
"61738885","0","61738885","58","31","5",no,6972136.886300000362098,29306106.0000,197.0000,63.0000,16.0000,-128575.8097,6972140.1250,"2",-128575.2900,"29"
"61738893","0","61738893","40","25","4",no,6972111.028400000184774,29309682.0000,163.0000,66.0000,14.0000,-128517.8437,6972099.8899,"3",-128527.0100,"25"
"61738894","0","61738894","75","37","8",no,6972081.975800000131130,29301220.0000,187.0000,57.0000,10.0000,-128652.0292,6972084.3872,"1",-128651.1000,"40"
"61738896","1","61738896","65","35","7",yes,6972162.197300001047552,,63.0000,35.0000,8.0000,-128636.7784,6972166.4447,"3",-128637.8700,"103"
"61738899","1","61738899","49","29","7",yes,6972202.551400000229478,29304094.0000,208.0000,67.0000,18.0000,-128598.7577,6972204.8730,"1",-128599.3300,"24"
"61738904","1","61738904","65","33","4",yes,6972046.054200000129640,,318.0000,73.0000,33.0000,-128485.1608,6972044.1746,"1",-128485.9300,"20"
"61738906","1","61738906","65","38","6",yes,6972009.991499999538064,,64.0000,36.0000,6.0000,-128508.6192,6972013.4154,"2",-128509.4200,"102"
"61738910","0","61738910","38","25","4",no,6972026.602099999785423,29313257.0000,119.0000,72.0000,17.0000,-128455.9925,6972014.2527,"3",-128446.4500,"32"
"61738915","0","61738915","49","35","6",no,6972167.481900000013411,29311079.0000,97.0000,57.0000,14.0000,-128494.2114,6972170.1433,"3",-128483.5600,"51"
